Address,Description,Comment 1,Comment 2,Occurrences
CA28:7,CA0740 Red,,,15
CA28:8,CA0402 Red,,,4466
CA29:1,Unused,,,0
CA29:2,Unused,,,0
CA29:3,Unused,,,0
CA29:4,Unused,,,0
CA29:5,Unused,,,0
CA29:6,Unused,,,0
CA29:7,Unused,,,0
CA29:8,Unused,,,0
CA2A:1,P1072N,,,5234
CA2A:2,P1072R,,,5233
CA2A:3,P1073N,,,12278
CA2A:4,P1073R,,,12256
CA2A:5,P1075N,,,1158
CA2A:6,P1075R,,,1132
CA2A:7,P1080N,,,1903
CA2A:8,P1080R,,,1886
CA2B:1,P1081N,,,13513
CA2B:2,P1081R,,,13480
CA2B:3,P1082N,,,6582
CA2B:4,P1082R,,,6581
CA2B:5,P1083N,,,9490
CA2B:6,P1083R,,,9470
CA2B:7,P1084N,,,2451
CA2B:8,P1084R,,,2441
CA2C:1,P1085N,,,7973
CA2C:2,P1085R,,,7943
CA2C:3,P1086N,,,3376
CA2C:4,P1086R,,,3385
CA2C:5,P1087N,,,3286
CA2C:6,P1087R,,,3277
CA2C:7,P1088N,,,3695
CA2C:8,P1088R,,,3683
CA2D:1,P1089N,,,3735
CA2D:2,P1089R,,,3710
CA2D:3,P1090N,,,1174
CA2D:4,P1090R,,,1148
CA2D:5,P1091N,,,2125
CA2D:6,P1091R,,,2105
CA2D:7,P1092N,,,961
CA2D:8,P1092R,,,952
CA2E:1,P1093N,,,575
CA2E:2,P1093R,,,541
CA2E:3,P1094N,,,1754
CA2E:4,P1094R,,,1723
CA2E:5,P1095N,,,23
CA2E:6,P1095R,,,11
CA2E:7,P1096N,,,881
CA2E:8,P1096R,,,866
CA2F:1,P1097N,,,1140
CA2F:2,P1097R,,,1136
CA2F:3,P1098N,,,1496
CA2F:4,P1098R,,,1491
CA2F:5,P1099N,,,362
CA2F:6,P1099R,,,341
CA2F:7,P1100N,,,24
CA2F:8,P1100R,,,13
CA30:1,P1104N,,,156
CA30:2,P1104R,,,117
CA30:3,P1105N,,,4613
CA30:4,P1105R,,,4550
CA30:5,P1106N,,,8185
CA30:6,P1106R,,,8153
CA30:7,P1511N,,,7
CA30:8,P1511R,,,0
CA31:1,P1565N,,,6
