Address,Description,Comment 1,Comment 2,Signalling ID,Occurrences,
CC18:7,P3084N,,,P3084N,1297,TRUE
CC18:8,P3084R,,,P3084R,1260,TRUE
CC19:1,P3085N,,,P3085N,75,TRUE
CC19:2,P3085R,,,P3085R,74,TRUE
CC19:3,P3086N,,,P3086N,991,TRUE
CC19:4,P3086R,,,P3086R,984,TRUE
CC19:5,P3088N,,,P3088N,983,TRUE
CC19:6,P3088R,,,P3088R,980,TRUE
CC19:7,P3089N,,,P3089N,942,TRUE
CC19:8,P3089R,,,P3089R,905,TRUE
CC1A:1,Unused,,,,0,FALSE
CC1A:2,Unused,,,,0,FALSE
CC1A:3,Unused,,,,0,FALSE
CC1A:4,Unused,,,,0,FALSE
CC1A:5,Unused,,,,0,FALSE
CC1A:6,Unused,,,,0,FALSE
CC1A:7,Unused,,,,0,FALSE
CC1A:8,Unused,,,,0,FALSE
CC1B:1,T6485,,,T6485,1699,TRUE
CC1B:2,T6495,,,T6495,1873,TRUE
CC1B:3,Unused,,,,0,FALSE
CC1B:4,Unused,,,,0,FALSE
CC1B:5,Unused,,,,0,FALSE
CC1B:6,Unused,,,,0,FALSE
CC1B:7,Unused,,,,0,FALSE
CC1B:8,Unused,,,,0,FALSE
CC1C:1,R1176AM,,Interlocking 8 (Clacton),R1176AM,1088,TRUE
CC1C:2,R1177AM,,,R1177AM,1089,TRUE
CC1C:3,Unused,,,,0,FALSE
CC1C:4,Unused,,,,0,FALSE
CC1C:5,Unused,,,,0,FALSE
CC1C:6,Unused,,,,0,FALSE
CC1C:7,Unused,,,,0,FALSE
CC1C:8,Unused,,,,0,FALSE
CC1D:1,S1172,,,S1172,1094,TRUE
CC1D:2,S1174,,,S1174,1070,TRUE
CC1D:3,S1175,,,S1175,2,TRUE
CC1D:4,S1176,,,S1176,1070,TRUE
CC1D:5,S1177,,,S1177,1090,TRUE
CC1D:6,Unused,,,,0,FALSE
CC1D:7,Unused,,,,0,FALSE
CC1D:8,Unused,,,,0,FALSE
CC1E:1,Unused,,,,0,FALSE
CC1E:2,Unused,,,,0,FALSE
CC1E:3,Unused,,,,0,FALSE
CC1E:4,Unused,,,,0,FALSE
CC1E:5,Unused,,,,0,FALSE
CC1E:6,Unused,,,,0,FALSE
CC1E:7,Unused,,,,0,FALSE
CC1E:8,Unused,,,,0,FALSE
CC1F:1,1617R,Not transmitted,Clacton TD,1617R,0,TRUE
CC1F:2,1617N,Not transmitted,,1617N,0,TRUE
CC1F:3,1820G,Not transmitted,,1820G,0,TRUE
CC1F:4,19G,Not transmitted,,19G,0,TRUE
CC1F:5,2223N,Not transmitted,,2223N,0,TRUE
CC1F:6,2223R,Not transmitted,,2223R,0,TRUE
CC1F:7,1326G,Not transmitted,,1326G,0,TRUE
CC1F:8,27G,Not transmitted,,27G,0,TRUE
CC20:1,2428G,Not transmitted,,2428G,0,TRUE
CC20:2,T93C7,Not transmitted,,T93C7,0,TRUE
CC20:3,TC711,Not transmitted,,TC711,0,TRUE
CC20:4,Unused,,,,0,FALSE
CC20:5,TC21,Not transmitted,,TC21,0,TRUE
CC20:6,TC19,Not transmitted,,TC19,0,TRUE
CC20:7,3234N,Not transmitted,,3234N,0,TRUE
CC20:8,3234R,Not transmitted,,3234R,0,TRUE
CC21:1,3335N,Not transmitted,,3335N,0,TRUE
CC21:2,3335R,Not transmitted,,3335R,0,TRUE
CC21:3,3839R,Not transmitted,,3839R,0,TRUE
CC21:4,3839N,Not transmitted,,3839N,0,TRUE
